"Time (s)","X (hPa)"
-5.261616251E-1,1.000357895E3
5.013423751E-1,1.000358734E3
1.528855375E0,1.000359650E3
2.556311375E0,1.000364456E3
3.583773375E0,1.000368729E3
3.783120375E0,1.000368729E3
4.843677375E0,1.000368118E3
5.904197375E0,1.000367813E3
6.964726375E0,1.000365219E3
8.025310375E0,1.000359879E3
9.085857375E0,1.000354843E3
1.014638337E1,1.000350494E3
1.120685038E1,1.000348969E3
1.226733038E1,1.000348969E3
1.332781138E1,1.000352707E3
1.438825137E1,1.000357437E3
1.544871138E1,1.000360870E3
1.650919238E1,1.000360870E3
1.756969137E1,1.000359879E3
1.863019838E1,1.000353851E3
1.969070138E1,1.000347977E3
2.075120937E1,1.000341339E3
2.181167538E1,1.000337067E3
2.287220938E1,1.000335312E3
2.393271537E1,1.000335312E3
2.499326438E1,1.000338287E3
2.605376937E1,1.000343552E3
2.711431838E1,1.000351334E3
2.817484337E1,1.000359344E3
2.923531538E1,1.000368195E3
3.029585938E1,1.000374680E3
3.135636738E1,1.000378799E3
3.241687737E1,1.000378799E3
3.347740438E1,1.000377121E3
3.453790538E1,1.000373459E3
3.559840837E1,1.000368652E3
3.665893138E1,1.000363693E3
3.771943337E1,1.000359116E3
3.877993538E1,1.000356522E3
3.984045237E1,1.000355682E3
4.090097837E1,1.000354767E3
