"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.715250064E-3,1.264009904E-2,-3.860862181E-2,2.643184364E-2
1.868525008E-2,4.242941737E-2,-5.261232331E-2,-2.640553750E-3
2.865525009E-2,6.720650941E-2,-5.953488126E-2,-2.100257576E-2
5.862425010E-2,6.348181516E-2,-3.994999826E-2,-2.589054033E-2
7.862425010E-2,-1.590084843E-2,4.524099827E-2,-1.853139326E-2
9.862425010E-2,1.858303510E-2,-1.121550240E-2,-7.698836271E-3
1.186242501E-1,4.393591359E-2,-4.346996173E-2,1.047323924E-2
1.386242501E-1,2.782429568E-2,4.102315288E-3,-2.130574081E-3
1.586242501E-1,3.339538723E-2,3.172519058E-2,-3.917500749E-2
1.786242501E-1,4.329193756E-2,5.144942552E-3,-4.829594120E-2
1.986242501E-1,3.908535838E-2,-8.021201938E-3,-2.133145556E-2
2.186242501E-1,2.729383856E-2,4.492703080E-2,-2.324698307E-2
2.386242501E-1,4.153924435E-2,3.342038020E-2,-3.662235662E-2
2.586242501E-1,6.366356462E-2,-2.347066440E-2,-4.713793099E-2
2.786242501E-1,5.254878104E-2,-3.807241097E-2,-3.961161897E-2
2.986242501E-1,4.315709695E-2,-4.622546956E-2,-8.544574492E-3
3.186242501E-1,4.539956152E-2,-3.675323725E-2,3.541999683E-2
3.386242501E-1,3.930636868E-2,-2.005427144E-2,3.785811737E-2
3.586242501E-1,3.112161532E-2,8.527036756E-3,-3.208770417E-3
3.786242501E-1,6.690035760E-2,6.003655493E-3,-1.818972081E-2
3.986242501E-1,8.191412687E-2,-2.472864464E-2,-1.462717168E-2
4.186242501E-1,1.147044003E-1,-2.435107157E-2,-2.484047972E-2
4.386242501E-1,1.116287559E-1,1.541589107E-2,-6.059157476E-2
4.586242501E-1,5.721911788E-2,9.195569903E-2,-5.671154335E-2
4.786242501E-1,6.183113158E-2,1.557728946E-1,-6.400611252E-2
4.986242501E-1,1.582636237E-1,1.153182536E-1,-1.207430586E-1
5.186242501E-1,1.498998255E-1,1.187097952E-1,-1.769109666E-1
5.386242501E-1,1.016025394E-1,2.244716436E-1,-1.652211696E-1
5.586242501E-1,1.897052974E-1,1.572280377E-1,-1.485885531E-1
5.786242501E-1,3.474615812E-1,-1.043772092E-3,-2.124142349E-1
5.986242501E-1,3.146265745E-1,4.217901267E-3,-3.319485486E-1
6.186242501E-1,1.831263602E-1,1.449334621E-1,-3.448020816E-1
6.386242501E-1,1.705877185E-1,2.180219144E-1,-2.388914526E-1
6.586242501E-1,2.229059190E-1,1.743704081E-1,-2.101550549E-1
6.786242501E-1,2.209982276E-1,1.611412764E-1,-3.107619882E-1
6.986242501E-1,2.022362053E-1,1.941049546E-1,-3.938969672E-1
7.186242501E-1,2.299969345E-1,1.373913884E-1,-3.509100378E-1
7.386242501E-1,2.175850272E-1,7.547704875E-2,-2.706874907E-1
7.586242501E-1,1.652261764E-1,1.404452771E-1,-2.767932713E-1
7.786242501E-1,1.569371819E-1,1.908047050E-1,-3.159184456E-1
7.986242501E-1,2.612211406E-1,4.775108397E-2,-3.176606297E-1
8.186242501E-1,2.763858438E-1,-8.182191849E-2,-3.048647642E-1
8.386242501E-1,2.548456490E-1,-6.200097129E-2,-3.152073026E-1
8.586242501E-1,3.020023704E-1,-1.325710565E-1,-2.949541211E-1
8.786242501E-1,3.876321614E-1,-2.790020406E-1,-2.709381580E-1
8.986242501E-1,3.340721130E-1,-3.256956041E-1,-3.418286741E-1
9.186242501E-1,2.682040334E-1,-3.459664881E-1,-4.303943217E-1
9.386242501E-1,3.171373308E-1,-3.613960743E-1,-3.521609306E-1
9.586242501E-1,2.755164802E-1,-3.407489955E-1,-2.316660881E-1
9.786242501E-1,2.123498470E-1,-1.629285961E-1,-2.488874942E-1
9.986242501E-1,1.242366582E-1,5.614909902E-2,-4.198511839E-1
1.018624250E0,1.099496558E-1,9.442725033E-2,-5.809546709E-1
1.038624250E0,2.554705143E-1,-1.104048789E-1,-5.414690971E-1
1.058624250E0,2.026007921E-1,-1.060199887E-1,-3.856731355E-1
1.078624250E0,4.449357837E-2,2.454342842E-1,-2.901430428E-1
1.098624250E0,7.125365734E-2,4.234957099E-1,-3.246070743E-1
1.118624250E0,1.585624218E-1,2.833117247E-1,-4.626647830E-1
1.138624250E0,1.703289598E-1,2.123101987E-2,-5.048361421E-1
1.158624250E0,7.708352059E-2,7.083328813E-2,-3.789083660E-1
1.178624250E0,8.145786822E-2,7.949683070E-2,-1.450734735E-1
1.198624250E0,1.284875721E-1,6.678581238E-2,2.073609503E-3
1.218624250E0,1.541951150E-1,6.157225370E-2,-5.629650876E-2
1.238624250E0,1.610706151E-1,6.320067495E-2,-1.671882421E-1
1.258624250E0,1.993434727E-1,-4.301572219E-2,-1.272061467E-1
1.278624250E0,1.523134857E-1,-2.207880616E-1,-2.378633432E-2
1.298624250E0,1.147305667E-1,-1.482972950E-1,2.730204351E-2
1.318624250E0,1.509187669E-1,-1.154739931E-1,9.732812643E-2
1.338624250E0,2.146345824E-1,-5.231372267E-2,2.256476879E-1
1.358624250E0,2.779940367E-1,2.159192413E-2,3.588242233E-1
1.378624250E0,2.354169637E-1,1.674747020E-1,3.772802949E-1
1.398624250E0,1.428337842E-1,3.759640753E-1,3.184391856E-1
1.418624250E0,-2.175575122E-2,4.090787172E-1,3.297583163E-1
1.438624250E0,-2.344135754E-2,3.019324541E-1,3.900401890E-1
1.458624250E0,2.390867025E-1,1.634311527E-1,4.441787601E-1
1.478624250E0,2.082570642E-1,-2.196056247E-1,4.748101234E-1
1.498624250E0,-5.861479044E-2,-1.222964451E-1,3.497044444E-1
1.518624250E0,-6.897843629E-2,1.345339268E-1,2.272249460E-1
1.538624250E0,8.761082590E-2,-2.814516425E-2,2.021943927E-1
1.558624250E0,4.760630056E-2,5.192901567E-2,1.412215829E-1
1.578624250E0,-1.589954197E-1,5.084183216E-1,3.503628774E-3
1.598624250E0,-1.745330840E-1,5.482362509E-1,-3.189973533E-2
1.618624250E0,5.030255765E-2,3.569740802E-2,9.583593160E-2
1.638624250E0,1.159111634E-1,-3.842936456E-1,2.162118554E-1
1.658624250E0,1.207536533E-1,-4.204857647E-1,1.743866056E-1
1.678624250E0,2.318646759E-1,-4.780854285E-1,4.249820486E-2
1.698624250E0,2.415374219E-1,-5.769587159E-1,-9.961235523E-2
1.718624250E0,7.269525528E-2,-3.762256503E-1,-2.236426622E-1
1.738624250E0,-3.636903316E-2,3.666104004E-2,-1.887612194E-1
1.758624250E0,-1.937224530E-2,3.136039972E-1,-8.288320899E-2
1.778624250E0,-3.699976578E-2,4.644795060E-1,-1.455326229E-1
1.798624250E0,-1.194425859E-2,4.592764080E-1,-4.024965763E-1
1.818624250E0,7.914132625E-2,9.380123764E-2,-5.991345644E-1
1.838624250E0,1.013194025E-1,-3.377203941E-1,-4.669214487E-1
1.858624250E0,6.431426108E-2,-4.817963839E-1,-1.194368824E-1
1.878624250E0,1.130365282E-1,-5.582914352E-1,7.154851407E-2
1.898624250E0,1.817676276E-1,-4.555238783E-1,1.549246069E-2
1.918624250E0,6.753099710E-2,-8.381012082E-2,-1.903175414E-1
1.938624250E0,-1.545550823E-1,3.033233285E-1,-4.239493608E-1
1.958624250E0,-1.264110804E-1,4.647164643E-1,-5.332829952E-1
1.978624250E0,-2.249386758E-1,5.045096874E-1,-4.524188638E-1
1.998624250E0,-2.055292875E-1,7.983735800E-1,-4.784675241E-1
2.018624250E0,-6.249008700E-3,4.340836108E-1,-6.503726840E-1
