"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-8.127915207E-4,2.125879211E0,9.994416504E0,-1.006057892E0
1.912720827E-2,1.555265808E0,9.373507690E0,-6.496490479E-2
3.906620829E-2,1.545685730E0,9.275611267E0,-4.324507141E-1
5.900620832E-2,1.909129944E0,9.850266266E0,-8.065228271E-1
7.894520834E-2,1.961820374E0,1.015787659E1,-3.887416077E-1
9.888520837E-2,1.863923950E0,9.764045563E0,-5.613327026E-2
1.188252084E-1,1.924996948E0,9.551337891E0,-2.040257263E-1
1.387642084E-1,2.048041077E0,9.818532257E0,-6.774911499E-1
1.587042084E-1,1.825304260E0,9.878258057E0,-5.158273315E-1
1.786432085E-1,1.674418030E0,9.676028595E0,-2.526745605E-1
1.985832085E-1,1.857637024E0,9.778565369E0,-5.523513794E-1
2.185220418E-1,2.026485901E0,9.918374634E0,-9.556127930E-1
2.384620418E-1,1.715881805E0,9.611063690E0,-8.752299500E-1
2.584010416E-1,1.339564362E0,9.290729828E0,-6.245013428E-1
2.783410416E-1,1.301244049E0,9.438921661E0,-8.729846191E-1
2.982800417E-1,1.627116394E0,9.718839569E0,-1.044976959E0
3.182200417E-1,1.790426788E0,9.772577820E0,-9.598040771E-1
3.381600417E-1,1.589544525E0,9.755812683E0,-3.995191956E-1
3.580990417E-1,1.637444916E0,9.720186768E0,-3.035687256E-1
3.780390418E-1,1.976340179E0,9.696985016E0,-5.270539856E-1
3.979780418E-1,2.226020966E0,9.716893616E0,-4.297563171E-1
4.179180418E-1,2.107467499E0,9.694889374E0,-7.429051208E-1
4.378570416E-1,1.877695312E0,9.723479919E0,-8.262817383E-1
4.577970416E-1,1.819915466E0,9.865085449E0,-6.706054688E-1
4.777360416E-1,1.703008575E0,9.957443390E0,-4.067042542E-1
4.976760417E-1,1.886526947E0,9.747430115E0,-4.677772522E-1
5.176150417E-1,2.355950775E0,9.638157349E0,-6.399192810E-1
5.375550417E-1,2.588117981E0,9.601932678E0,-5.179229736E-1
5.574940417E-1,2.324216766E0,9.436676331E0,-1.974394226E-1
5.774340418E-1,1.961371307E0,9.251361694E0,-7.801776123E-1
5.973740418E-1,1.652413788E0,9.769584045E0,-9.592053223E-1
6.173130418E-1,1.464704132E0,1.025233017E1,-4.824467468E-1
6.372530416E-1,1.589694214E0,9.964029694E0,-7.394622803E-1
6.571920416E-1,1.657203827E0,9.570048981E0,-1.439406738E0
6.771320417E-1,1.369502106E0,9.548044739E0,-1.678160248E0
6.970710417E-1,1.090332642E0,9.746382294E0,-7.366181946E-1
7.170110417E-1,1.303190002E0,9.740394745E0,7.707472229E-1
7.369500417E-1,1.924547882E0,9.942923584E0,3.535647583E-1
7.568900418E-1,2.187850342E0,1.013721954E1,-1.191222839E0
7.768290418E-1,1.894759827E0,9.911938019E0,-2.110311584E0
7.967690418E-1,9.613009644E-1,9.267079010E0,-1.733694763E0
8.167080418E-1,3.987707520E-1,8.792715454E0,-1.279539185E0
8.366480416E-1,5.592370605E-1,9.795180817E0,-1.586251373E0
8.565880416E-1,1.141675873E0,1.108519821E1,-2.234403534E0
8.765270417E-1,1.313219147E0,1.057850189E1,-1.914668427E0
8.964670417E-1,8.132588196E-1,9.137298889E0,-1.621278534E0
9.164060417E-1,3.388952637E-1,8.789122925E0,-1.112187195E0
9.363460417E-1,5.210664368E-1,9.018146667E0,-6.200106812E-1
9.562850418E-1,1.209035797E0,9.974358215E0,-8.967851257E-1
9.762250418E-1,1.415456543E0,1.022568558E1,-9.607022095E-1
