"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.041120826E-2,-5.572615787E-3,1.636162037E-1,2.446416557E-1
2.037920826E-2,-6.708203539E-2,-2.585638762E-3,3.585009778E-1
3.034820827E-2,-1.031500004E-2,-1.292790145E-1,1.084038699E-1
6.031720827E-2,6.765696287E-2,-9.354784906E-2,-6.510056019E-2
8.031720827E-2,1.712923553E-1,2.070469826E-1,-6.745508775E-2
1.003172083E-1,-3.188172407E-2,-6.340194404E-2,2.927221406E-1
1.203172083E-1,-1.488334192E-1,-1.898707867E-2,1.427892986E-1
1.403172083E-1,-4.183291767E-2,3.066958165E-1,-2.436254096E-1
1.603172083E-1,-2.807065509E-3,-4.442188203E-2,-2.797591558E-1
1.803172083E-1,-1.116087288E-1,-3.113706654E-1,-7.573079824E-2
2.003172083E-1,4.856836192E-2,2.056793189E-1,-2.302200830E-1
2.203172083E-1,2.003840073E-1,5.627126455E-2,-2.602032892E-1
2.403172083E-1,1.779271178E-2,-1.083261019E-1,3.938498814E-1
2.603172083E-1,-5.061726283E-2,3.800415355E-1,1.297055689E-1
2.803172083E-1,-2.269527320E-2,4.454859120E-1,-3.609100306E-1
3.003172083E-1,-3.965884980E-2,8.473434091E-2,-7.438930079E-2
3.203172083E-1,1.649549237E-1,-3.418861145E-1,9.228631228E-2
3.403172083E-1,2.130871199E-1,-1.793516457E-1,9.588498116E-2
3.603172083E-1,7.615143232E-2,5.218388540E-1,-1.725908026E-1
3.803172083E-1,2.879701084E-1,1.369429600E-1,-3.333322227E-1
4.003172083E-1,4.393925285E-1,-3.695253181E-1,3.658450806E-1
4.203172083E-1,2.297124899E-1,-2.190571636E-1,4.050085616E-1
4.403172083E-1,6.238507669E-2,4.093629831E-1,-2.536267796E-1
4.603172083E-1,7.732047345E-2,2.467127395E-1,-3.018265477E-1
4.803172083E-1,5.326446547E-1,1.228839147E-1,6.040176693E-1
5.003172083E-1,4.372373545E-1,2.954206306E-1,4.094889906E-1
5.203172083E-1,3.020419079E-1,5.232503718E-1,-7.989153072E-2
5.403172083E-1,4.209854206E-1,5.329503179E-2,-1.892606297E-1
5.603172083E-1,4.971265472E-1,-3.776786757E-1,-2.210773766E-1
5.803172083E-1,1.600459121E-1,-2.179473621E-1,-2.283513129E-1
6.003172083E-1,-1.538354747E-1,2.878777224E-1,-2.981378317E-1
6.203172083E-1,1.340732197E-1,1.398332387E-1,-3.389033036E-1
6.403172083E-1,2.578550109E-1,1.767636681E-1,6.093140772E-1
6.603172083E-1,3.753401548E-1,6.425335711E-1,5.519879749E-1
6.803172083E-1,6.063464691E-1,8.543822873E-1,3.916979599E-1
7.003172083E-1,5.306983724E-1,3.664806730E-1,4.079846482E-1
7.203172083E-1,7.265645651E-1,-9.350925744E-2,3.576543009E-1
7.403172083E-1,7.362950628E-1,-9.727889889E-1,2.821914513E-1
7.603172083E-1,2.732346133E-1,-8.578929555E-1,-5.327000570E-1
7.803172083E-1,-2.853989415E-1,-2.155809939E-2,1.792218375E-1
8.003172083E-1,-1.015515471E0,-8.281195182E-1,-3.067461026E-1
8.203172083E-1,-9.399578232E-1,-7.151688534E-1,-8.670698681E-1
8.403172083E-1,-6.563413323E-1,-1.069560993E-1,-1.239278474E0
8.603172083E-1,-6.264461267E-1,6.375353712E-1,-7.175713281E-1
8.803172083E-1,-9.066762757E-1,7.699514169E-1,2.687719452E-1
9.003172083E-1,-5.170508614E-1,3.188369751E-1,7.088240397E-1
9.203172083E-1,4.545825715E-1,-4.688180566E-2,4.123199201E-1
9.403172083E-1,8.204598118E-1,-6.618580341E-2,3.404612942E-1
9.603172083E-1,3.339489578E-1,-2.338494498E-1,9.229196946E-1
9.803172083E-1,1.371976063E-1,-3.759654415E-1,1.087239611E0
1.000317208E0,5.023057915E-1,-3.409511447E-1,6.297556508E-1
1.020317208E0,4.265065809E-1,-7.534955978E-2,3.191093092E-1
1.040317208E0,3.935282846E-1,-1.961039186E-2,-2.279820612E-1
1.060317208E0,5.978485644E-2,-3.952057046E-1,-4.072173473E-1
1.080317208E0,-6.451019606E-1,-1.636000654E0,9.408754706E-2
1.100317208E0,-1.108746985E0,-1.769924111E0,-2.122276157E-2
1.120317208E0,-9.355930960E-1,-3.723050845E-1,-1.066724362E0
1.140317208E0,-5.364139161E-1,8.593284470E-1,-1.189728291E0
1.160317208E0,-4.309272221E-1,1.084483672E0,-7.699876696E-2
1.180317208E0,7.036404830E-1,1.971739590E-1,8.149127045E-1
1.200317208E0,7.197083393E-1,4.435867363E-1,6.820008150E-1
1.220317208E0,4.156367531E-1,8.503114557E-1,4.764472112E-1
1.240317208E0,2.076568472E-1,7.135480052E-1,8.362743375E-1
1.260317208E0,3.282047993E-1,-1.382188225E-1,1.610989773E-1
1.280317208E0,9.396405387E-1,2.102664596E-1,-6.239011261E-1
1.300317208E0,9.327551499E-1,3.826534867E-1,-6.708349720E-1
1.320317208E0,3.327159262E-1,-3.660105568E-1,-3.123815028E-1
1.340317208E0,-1.136841980E-1,-8.025069594E-1,-6.985937512E-1
1.360317208E0,-2.279779682E-1,-6.868139505E-1,-6.570130312E-1
1.380317208E0,-3.412265486E-1,-7.386319757E-1,-6.623842835E-2
1.400317208E0,-4.810270429E-2,-1.115993732E-1,1.315866181E-1
1.420317208E0,3.494983122E-1,4.916490948E-1,-2.266418794E-1
1.440317208E0,5.023740578E-1,5.810840124E-1,-3.928440142E-1
1.460317208E0,4.308807367E-1,5.658297962E-1,-1.412523580E-1
1.480317208E0,9.404661655E-2,4.480814910E-1,2.305776402E-1
1.500317208E0,-9.076223552E-2,2.625481689E-1,3.218800123E-1
1.520317208E0,-7.845735490E-2,4.688344288E-1,-1.730527326E-1
1.540317208E0,-2.586451524E-1,5.594569159E-1,-9.361421496E-2
1.560317208E0,-4.341645330E-1,3.800128841E-1,5.367217720E-1
1.580317208E0,-5.717044938E-1,1.543834502E-1,-2.811078161E-2
1.600317208E0,-5.596984059E-1,2.563483661E-1,-7.802749684E-1
1.620317208E0,-5.875510329E-1,4.945463902E-1,-5.009613705E-1
1.640317208E0,-7.573787338E-1,7.701671791E-1,3.099725962E-2
1.660317208E0,-5.797648805E-1,7.196916747E-1,-5.614028692E-2
1.680317208E0,8.686623573E-2,1.899719435E-1,-1.998742032E-1
1.700317208E0,-1.539981186E-2,1.669806916E-1,1.223006549E-1
1.720317208E0,-3.224061155E-1,4.025983393E-1,-6.290133467E-1
1.740317208E0,-4.767275852E-1,3.478426731E-1,-5.246844015E-1
1.760317208E0,-6.035232872E-1,8.108392417E-2,-1.830684283E-1
1.780317208E0,-3.768559724E-1,6.038372827E-1,-3.027562550E-1
1.800317208E0,-3.496395224E-1,7.756085980E-1,-7.558116800E-1
1.820317208E0,-6.588151431E-1,2.175351334E-1,-1.568886897E-1
1.840317208E0,-6.015089214E-1,3.588418704E-1,-1.327841279E-1
1.860317208E0,-3.240795887E-1,8.750738293E-1,-7.654519844E-1
1.880317208E0,-4.912468064E-1,5.585114211E-1,3.309526983E-1
1.900317208E0,6.673485696E-2,2.560495734E-2,2.560849491E-1
1.920317208E0,2.323426223E-1,2.610267234E-1,-3.671668437E-1
1.940317208E0,-1.994824398E-1,6.315548390E-1,-5.071246281E-1
1.960317208E0,-5.582465422E-1,6.400713086E-2,-2.914342913E-1
1.980317208E0,-2.408889127E-1,1.265629828E-2,2.721637689E-1
2.000317208E0,1.703440100E-1,5.461603475E-1,-2.590986040E-1
2.020317208E0,-3.920616567E-2,7.732311201E-1,-5.364601091E-1
2.040317208E0,-1.428229201E-1,2.539235258E-1,1.066929746E-1
2.060317208E0,1.902783376E-1,1.828582209E-1,3.703350113E-1
2.080317208E0,2.563439807E-1,5.318662441E-1,-2.020087293E-1
2.100317208E0,4.504221314E-1,4.532749879E-1,-4.245078564E-3
2.120317208E0,6.014273527E-1,7.294635415E-2,6.138700815E-1
2.140317208E0,7.884286183E-1,1.177705246E-1,3.720375744E-1
2.160317208E0,7.142180961E-1,3.119296592E-1,-1.277768648E-1
2.180317208E0,3.299990174E-1,6.062802494E-2,-3.615684271E-1
2.200317208E0,-4.945458055E-2,-3.403933203E-1,-1.776452820E-1
2.220317208E0,-1.777144253E-1,-2.312959707E-1,-4.211261192E-1
2.240317208E0,-1.473352164E-2,-1.856771636E-1,4.439907789E-2
2.260317208E0,-4.436323446E-1,3.135452449E-1,1.854758732E-1
2.280317208E0,1.236206639E-1,-1.039841934E0,-6.474471326E-1
2.300317208E0,-1.043976501E-2,-1.985967620E0,-4.112826240E-1
2.320317208E0,-4.471172851E-1,-1.964662120E0,1.736355539E-1
2.340317208E0,-2.543078341E-1,-9.231145531E-1,-5.062038378E-1
2.360317208E0,3.971450798E-1,-1.681624138E-1,2.257222585E-1
2.380317208E0,3.671308833E-1,-3.484472752E-1,1.374500452E0
2.400317208E0,4.154047649E-1,-9.429752058E-1,1.065893473E0
2.420317208E0,5.730959849E-1,-1.374919551E0,1.040890925E0
2.440317208E0,3.994629161E-1,-4.434405559E-1,6.877765484E-1
2.460317208E0,-1.302145690E-1,6.512856835E-1,1.320139034E-1
2.480317208E0,-8.353895076E-1,1.416669255E0,-7.641655970E-1
2.500317208E0,-8.893565306E-1,3.456973296E-1,-6.622673392E-1
2.520317208E0,1.219004130E-1,-7.711460030E-1,2.503868374E-1
2.540317208E0,7.127934220E-1,-1.183556555E0,5.081407280E-1
2.560317208E0,1.579429427E-1,-4.791886783E-1,-1.510078526E-1
2.580317208E0,-9.229765588E-1,1.234733725E0,-8.917144203E-1
2.600317208E0,-2.042292825E0,1.335056743E0,-8.553233966E-1
2.620317208E0,-1.673700869E0,1.350361830E-1,7.447013855E-3
2.640317208E0,-2.976064660E-1,-6.852486509E-1,2.930481228E-1
2.660317208E0,5.323775831E-1,-3.355600119E-1,5.827697647E-1
2.680317208E0,3.210507309E-1,1.173246160E0,4.790904450E-1
2.700317208E0,2.521702382E-1,1.502739685E0,6.702115126E-1
2.720317208E0,7.717080666E-1,2.773077106E-1,1.308132215E0
2.740317208E0,1.324586719E0,-6.360338062E-1,7.777299678E-1
2.760317208E0,1.080726543E0,-4.394650340E-1,-4.000679567E-1
2.780317208E0,-6.328792334E-2,8.152421951E-2,2.282238436E-1
2.800317208E0,-7.378708144E-1,1.813847226E-1,-2.184483223E-1
2.820317208E0,-9.983965775E-1,-3.293327272E-1,-1.099631761E0
2.840317208E0,-1.241113037E0,-7.844864255E-1,-6.763600060E-1
2.860317208E0,-9.869562078E-1,-8.712988669E-1,-1.008716036E0
2.880317208E0,-5.195517156E-1,-9.951961040E-1,-1.426871185E0
2.900317208E0,-4.172228104E-1,-1.654218239E-1,-1.063764648E0
2.920317208E0,-1.232096046E-1,5.971451443E-1,-1.131937774E0
2.940317208E0,2.239287713E-1,1.347888458E-1,-3.605891646E-1
2.960317208E0,1.107108888E-1,-3.941619766E-1,1.903501853E0
2.980317208E0,3.780341864E-1,3.475842261E-1,1.817561085E0
3.000317208E0,1.332536885E0,1.152910128E0,9.340859762E-1
3.020317208E0,2.056026327E0,8.879809731E-1,1.176391084E0
3.040317208E0,1.685655209E0,-6.179050988E-1,2.202325417E0
3.060317208E0,3.307977471E-1,-2.804429877E-1,1.484030349E0
3.080317208E0,2.164352721E-1,4.311456156E-1,-1.817031035E-1
3.100317208E0,9.576160491E-2,-7.888379234E-1,-2.825514936E-1
3.120317208E0,-2.344198456E-1,-1.442342625E0,-2.348168716E-1
3.140317208E0,-3.927463657E-1,-1.068547086E0,-1.193811109E0
3.160317208E0,-4.607605934E-4,-1.502728575E-1,-9.572444585E-1
3.180317208E0,-1.106176257E-1,6.076484978E-2,-9.641503125E-2
3.200317208E0,-1.582376423E-1,-8.046587348E-2,3.757087487E-1
3.220317208E0,5.645831698E-1,3.723594636E-1,-4.778052270E-2
3.240317208E0,9.014172900E-1,1.019909946E0,2.707591215E-1
3.260317208E0,3.036184269E-1,-3.527356231E-1,1.122835852E0
3.280317208E0,3.843480098E-1,-9.404895544E-2,5.716822743E-2
3.300317208E0,9.679270291E-1,6.172110343E-1,-8.527494523E-1
3.320317208E0,7.694579118E-1,4.613505775E-1,-7.193303168E-1
3.340317208E0,5.374485809E-1,5.790439188E-1,-6.582924020E-1
3.360317208E0,7.009992957E-2,2.349516499E-1,2.639061847E-1
3.380317208E0,-5.997500789E-1,-9.052723593E-1,5.585470891E-1
3.400317208E0,-3.445103449E-1,-6.009739012E-1,-4.604445514E-1
3.420317208E0,-1.570456874E-1,2.519916058E-1,-1.130141655E0
3.440317208E0,-4.695729321E-1,3.629583102E-1,-2.061324781E-1
3.460317208E0,-5.261570227E-1,-5.329152346E-2,2.024285594E-1
3.480317208E0,-9.643286526E-2,1.354343784E-1,-7.356332311E-1
3.500317208E0,1.551997215E-1,9.310088789E-1,-1.117431270E0
3.520317208E0,-4.513810748E-1,8.213449341E-1,3.512855136E-1
3.540317208E0,-8.372516996E-1,5.489401138E-1,5.023974466E-1
3.560317208E0,-5.578898621E-1,1.087017270E0,-5.665261996E-1
3.580317208E0,-2.286255473E-1,1.112036921E0,-7.460377666E-1
3.600317208E0,-5.091615057E-1,6.709791058E-1,-6.566218525E-2
3.620317208E0,-8.216466504E-1,4.348749697E-1,-2.965143523E-1
3.640317208E0,-7.293068361E-1,7.804313815E-1,-1.014140206E0
3.660317208E0,-9.997084004E-1,5.528600872E-1,-4.384251067E-1
3.680317208E0,-1.087832957E0,-2.821866274E-2,-1.920801571E-1
3.700317208E0,-3.919143069E-1,2.470653266E-1,-5.037949312E-1
3.720317208E0,-2.392674798E-1,7.716167039E-1,-8.589013079E-1
3.740317208E0,-3.727939117E-1,4.528270912E-1,-3.229309031E-1
3.760317208E0,-3.566637826E-1,-2.823585355E-1,1.722262287E-1
3.780317208E0,-2.187121779E-1,3.162226850E-1,-5.837649608E-1
3.800317208E0,-6.440696347E-1,6.306678164E-1,-9.691686854E-1
3.820317208E0,-9.212674177E-1,5.648585737E-2,-2.539583167E-1
3.840317208E0,-2.876420796E-1,-3.712046385E-2,-8.455600083E-2
3.860317208E0,-3.429099619E-1,6.022579497E-1,-3.694577828E-1
3.880317208E0,-3.598698109E-1,4.345486951E-1,-2.425448442E-1
3.900317208E0,-1.473556817E-1,-4.252060139E-1,3.378901273E-2
3.920317208E0,-1.254911882E-1,-1.119613159E-1,-5.014785567E-1
3.940317208E0,-5.768658310E-1,4.551297247E-1,-7.292644438E-1
3.960317208E0,-7.863563651E-1,-5.401014626E-1,-6.954646137E-1
3.980317208E0,-2.830900222E-1,-1.481740580E0,1.972540659E-1
4.000317208E0,3.647545749E-1,-1.217751072E0,2.251803678E-1
4.020317208E0,-1.817665458E-2,-2.557531196E-1,-6.661805883E-1
4.040317208E0,-4.830507642E-1,-2.754892266E-1,-7.974190047E-1
4.060317208E0,-1.312764233E-1,-5.711963707E-1,5.617276821E-1
4.080317208E0,3.332488999E-1,-9.419572055E-2,3.628077444E-1
4.100317208E0,2.389014441E-1,2.525587857E-2,-7.929967555E-1
4.120317208E0,1.512016878E-1,-1.557148612E-1,-5.597606787E-1
4.140317208E0,1.521506909E-1,-1.638968700E-1,3.681722724E-1
4.160317208E0,7.099092829E-1,-4.745056432E-1,4.121760786E-1
4.180317208E0,1.046967644E0,-3.160712421E-1,2.331957310E-2
4.200317208E0,8.936121342E-1,1.124127209E-2,2.419633386E-1
4.220317208E0,4.900150904E-1,-2.254008079E-1,3.676311126E-1
4.240317208E0,4.987028834E-1,4.973115385E-2,5.411524996E-1
4.260317208E0,7.559271625E-1,2.227742386E-1,-6.243364513E-2
4.280317208E0,4.308944777E-1,2.349972582E-1,7.482418746E-2
4.300317208E0,-1.147478065E-1,1.955472636E-1,5.178364348E-1
4.320317208E0,2.223944619E-1,1.073040086E-1,3.999406336E-1
4.340317208E0,5.939806312E-1,-2.383143836E-1,7.942638472E-1
4.360317208E0,7.413667184E-1,-2.263065416E-1,7.405706200E-1
4.380317208E0,5.848370478E-2,3.018648469E-1,1.052206457E-3
4.400317208E0,-4.212258142E-1,4.293201149E-1,-2.974455214E-1
4.420317208E0,3.911392584E-2,-2.638287091E-1,3.586799026E-2
4.440317208E0,-3.933604695E-1,-1.343376746E0,3.143619548E-1
4.460317208E0,-1.447567112E0,-1.097872041E0,2.982385500E-1
4.480317208E0,-1.171963865E0,6.848060167E-1,-4.499746732E-1
4.500317208E0,-1.383818136E-1,8.232856250E-1,1.391219249E-1
4.520317208E0,5.524317786E-2,-5.581933326E-1,8.277868116E-1
4.540317208E0,-3.372413787E-1,-5.710922903E-1,1.057511782E0
4.560317208E0,4.295174584E-2,9.127187884E-1,7.353166044E-1
4.580317208E0,6.445751265E-1,9.332553792E-1,-3.036692977E-2
4.600317208E0,5.776521353E-1,-1.300350595E-1,-5.878936797E-2
4.620317208E0,4.299223781E-2,-5.635487974E-1,2.372434661E-1
4.640317208E0,-6.262207165E-2,-1.306747448E-1,2.651548576E-1
4.660317208E0,-1.666222572E-1,-5.208407342E-2,1.405094692E-1
4.680317208E0,-4.763033697E-1,-3.073723394E-1,-7.394608185E-2
4.700317208E0,-7.118471964E-1,3.163343668E-2,-8.155579448E-2
4.720317208E0,-5.658382747E-1,5.866944158E-1,9.825120315E-2
4.740317208E0,-2.210528183E-1,-1.142855841E-1,-1.619479930E-1
4.760317208E0,-5.419024050E-2,-8.759409714E-1,1.188010964E-1
4.780317208E0,3.841354635E-1,-1.261525083E-1,3.509440362E-1
4.800317208E0,9.240258417E-1,1.015570727E0,1.435956296E-1
4.820317208E0,8.213627681E-1,3.151175612E-1,2.183715776E-1
4.840317208E0,2.346066642E-1,-1.295201536E0,7.779419294E-1
4.860317208E0,-2.828880009E-1,-1.158671975E0,1.031198580E0
4.880317208E0,4.064273885E-1,6.704551953E-1,6.657823929E-1
4.900317208E0,3.606428128E-1,7.262241840E-1,1.023645732E-1
4.920317208E0,4.167731595E-1,-3.527812314E-1,4.630614728E-2
4.940317208E0,7.500317073E-1,-5.100970602E-1,4.831726786E-1
4.960317208E0,5.609304142E-1,1.750755769E-1,7.517294464E-1
4.980317208E0,3.483195135E-1,5.862079275E-1,5.511939231E-1
5.000317208E0,7.069222328E-1,5.906284225E-1,1.273070410E-1
5.020317208E0,1.063213255E0,7.810652196E-1,-3.758110750E-1
5.040317208E0,7.137202057E-1,2.636451066E-1,-2.119878799E-2
5.060317208E0,-2.042692629E-1,-9.293026614E-1,-2.200307250E-2
5.080317208E0,-4.504379189E-1,-1.203632970E0,-5.363039884E-1
5.100317208E0,-2.572219402E-2,-5.562543958E-1,-9.035234571E-1
5.120317208E0,3.558609599E-1,5.252507043E-1,-1.010987095E0
5.140317208E0,2.868942207E-1,7.980841255E-1,-1.650525722E-1
5.160317208E0,-1.207227838E-1,1.045236576E-1,1.264177380E0
5.180317208E0,2.659816539E-1,-6.004920906E-1,6.790584961E-1
5.200317208E0,1.317757756E-1,1.615579838E-1,-4.853063276E-1
5.220317208E0,-4.205609858E-2,6.470996618E-1,-1.093823137E0
5.240317208E0,-1.273763305E-1,7.709705865E-1,1.147980925E-1
5.260317208E0,-5.077020407E-2,-4.547800612E-1,6.691843030E-1
5.280317208E0,-7.024260163E-3,-5.911301136E-2,-2.990099439E-1
5.300317208E0,-9.482195735E-2,1.381568420E-1,-4.526753560E-1
5.320317208E0,-1.139177942E-1,4.988628048E-1,-4.973466218E-1
5.340317208E0,-1.318880421E-1,4.167281359E-1,-1.621307185E-1
5.360317208E0,-7.961393416E-2,-6.548630100E-1,4.953246546E-1
5.380317208E0,7.588808835E-2,-7.025336051E-1,-2.417677492E-2
5.400317208E0,5.293191969E-2,3.999378562E-1,-9.115715647E-1
5.420317208E0,-1.218197215E-1,4.750535274E-1,-6.859187418E-1
5.440317208E0,-2.605823350E-1,-1.441648561E-1,3.462019444E-2
5.460317208E0,-1.345561266E-2,8.499161839E-2,-3.360380217E-1
5.480317208E0,1.039968234E-1,3.002779126E-2,-3.930308327E-1
5.500317208E0,4.003822446E-2,8.200790119E-1,-7.962252957E-1
5.520317208E0,-6.737395763E-2,9.762499559E-1,-4.936149287E-1
5.540317208E0,-3.419802547E-1,2.263790470E-1,1.434102729E-1
5.560317208E0,-3.339227915E-2,1.577888685E-1,-3.267517662E-1
5.580317208E0,3.687254190E-3,5.157185733E-1,-2.518363622E-1
5.600317208E0,-1.047177851E-2,2.414338732E-1,1.327642474E-1
5.620317208E0,-2.174456710E-1,5.238719308E-1,-3.412794659E-1
5.640317208E0,-4.644864392E-1,5.223037076E-1,-4.720960057E-1
5.660317208E0,-8.075267941E-1,-7.697625518E-2,-2.179803988E-1
5.680317208E0,-8.137955940E-1,3.888983130E-2,-1.989515126E-3
5.700317208E0,-6.466488415E-1,3.880270779E-1,-3.877469963E-1
5.720317208E0,-2.970040566E-1,6.766017884E-1,-4.614461794E-1
5.740317208E0,-5.770669752E-1,6.079402739E-1,-5.044650221E-1
5.760317208E0,-8.046189737E-1,3.283591658E-1,-5.932000279E-1
5.780317208E0,-8.693207538E-1,3.458750850E-1,-6.981882468E-1
5.800317208E0,-6.632327145E-1,4.818690419E-2,-3.404193404E-1
5.820317208E0,-3.220663923E-1,-2.006062746E-2,-2.829368252E-1
5.840317208E0,-2.943868428E-1,-2.375138998E-2,-2.601879403E-1
5.860317208E0,-3.869488513E-1,-9.389400423E-2,-2.171088713E-1
5.880317208E0,-4.110937589E-1,7.189379686E-1,-5.439357743E-1
5.900317208E0,-5.581032854E-1,7.165078658E-1,-3.461478576E-1
