"Time (s)","X (hPa)"
-5.495817084E-1,1.000326614E3
4.778942915E-1,1.000326462E3
1.505375291E0,1.000326614E3
2.532862291E0,1.000342178E3
3.560303292E0,1.000347595E3
3.759765292E0,1.000354385E3
4.820366292E0,1.000354385E3
5.880987291E0,1.000355988E3
6.941549292E0,1.000358200E3
8.002087292E0,1.000359268E3
9.062670291E0,1.000359268E3
1.012321729E1,1.000360565E3
1.118380529E1,1.000362396E3
1.224437629E1,1.000362396E3
1.330497829E1,1.000363159E3
1.436555829E1,1.000366364E3
1.542615629E1,1.000366364E3
1.648678929E1,1.000368195E3
1.754741729E1,1.000373077E3
1.860803629E1,1.000373077E3
1.966867929E1,1.000375748E3
2.072934129E1,1.000379333E3
2.179000329E1,1.000379333E3
2.285067629E1,1.000377502E3
2.391136129E1,1.000374374E3
2.497198029E1,1.000374374E3
2.603261529E1,1.000365982E3
2.709319829E1,1.000363846E3
2.815379929E1,1.000363846E3
2.921439429E1,1.000362625E3
3.027502229E1,1.000362625E3
3.133566729E1,1.000364609E3
3.239628429E1,1.000367432E3
3.345693329E1,1.000376511E3
3.451759129E1,1.000382843E3
3.557824829E1,1.000384064E3
3.663887629E1,1.000391159E3
3.769954729E1,1.000391159E3
3.876016229E1,1.000392838E3
3.982081029E1,1.000392838E3
4.088151129E1,1.000392838E3
4.194222829E1,1.000393982E3
4.300291529E1,1.000395432E3
4.406351729E1,1.000395432E3
4.512421129E1,1.000397797E3
4.618483229E1,1.000403137E3
4.724543429E1,1.000406647E3
4.830607929E1,1.000407791E3
