"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.070791580E-3,1.018445939E-2,-4.016182199E-2,-4.780134186E-2
1.503979159E-2,4.083078727E-2,-3.169110790E-2,-4.584578425E-2
2.500979160E-2,4.120504111E-2,4.158813972E-3,-3.604373708E-2
5.497979161E-2,3.915014490E-2,1.368653961E-2,-2.807422727E-2
7.497979161E-2,1.989892870E-2,4.853263125E-2,-4.745046049E-2
9.497979161E-2,2.874373831E-2,4.829639196E-2,-6.335306168E-2
1.149797916E-1,9.073397517E-2,9.380054474E-2,-8.115848154E-2
1.349797916E-1,3.503498062E-2,1.880249977E-1,-8.842577785E-2
1.549797916E-1,-3.649363294E-2,1.855773479E-1,-8.891785145E-2
1.749797916E-1,-3.978072852E-2,1.489843875E-1,-9.012476355E-2
1.949797916E-1,-4.042747989E-2,1.174053699E-1,-6.764304638E-2
2.149797916E-1,-4.411267117E-2,1.316025257E-1,-6.417148560E-2
2.349797916E-1,-1.492669340E-3,1.743419468E-1,-6.257341057E-2
2.549797916E-1,9.308127314E-2,2.424494624E-1,-1.115763932E-1
2.749797916E-1,5.344176665E-2,3.604195416E-1,-1.846398860E-1
2.949797916E-1,-9.334939718E-2,3.310938776E-1,-2.270765752E-1
3.149797916E-1,-1.042343304E-1,2.137582749E-1,-2.343384475E-1
3.349797916E-1,-1.825769544E-1,1.618211567E-1,-1.901080906E-1
3.549797916E-1,-2.036353797E-1,3.495975956E-2,-1.328277886E-1
3.749797916E-1,-1.664311290E-1,1.126577482E-1,-1.757747382E-1
3.949797916E-1,-1.961642206E-1,3.240204453E-1,-2.392392308E-1
4.149797916E-1,-2.147030979E-1,4.083652496E-1,-2.215087265E-1
4.349797916E-1,-1.885401607E-1,3.227448463E-1,-1.455873400E-1
4.549797916E-1,-1.798043102E-1,1.262887716E-1,-1.257121861E-1
4.749797916E-1,-1.510688365E-1,5.744509771E-2,-1.926684827E-1
4.949797916E-1,-1.799548119E-1,1.104968637E-1,-2.535955012E-1
5.149797916E-1,-2.244237065E-1,1.851834655E-1,-2.164121866E-1
5.349797916E-1,-2.150072157E-1,1.267585456E-1,-1.319832951E-1
5.549797916E-1,-1.899853647E-1,5.873024464E-2,-1.075254083E-1
5.749797916E-1,-2.335510701E-1,1.557179689E-1,-1.693430990E-1
5.949797916E-1,-2.900854647E-1,2.587079108E-1,-1.646207720E-1
6.149797916E-1,-2.562793493E-1,3.399582207E-1,-6.744695455E-2
6.349797916E-1,-2.670497000E-1,4.371251464E-1,-4.772707075E-2
6.549797916E-1,-2.020573467E-1,3.074811399E-1,-9.995199740E-2
6.749797916E-1,-1.839306653E-1,1.104152128E-1,-1.351393014E-1
6.949797916E-1,-1.146489531E-1,-3.238369524E-2,-1.442793459E-1
7.149797916E-1,-4.917675257E-2,7.147255354E-3,-1.969058812E-1
7.349797916E-1,-1.371448394E-3,1.188387871E-1,-2.262906432E-1
7.549797916E-1,7.426846027E-2,2.271295190E-1,-2.422764450E-1
7.749797916E-1,8.685833216E-2,2.369345427E-1,-2.694488764E-1
7.949797916E-1,1.635629386E-1,4.736561794E-3,-2.007954270E-1
8.149797916E-1,2.855763435E-1,-1.395617723E-1,-1.776067615E-1
8.349797916E-1,3.286494911E-1,-7.967568934E-2,-2.086524665E-1
8.549797916E-1,2.891217172E-1,-9.099327028E-2,-2.430522144E-1
8.749797916E-1,2.688146830E-1,-2.629795671E-1,-2.212692946E-1
8.949797916E-1,2.213669568E-1,-4.369924366E-1,-2.186045945E-1
9.149797916E-1,1.656639278E-1,-5.531020761E-1,-2.405859232E-1
9.349797916E-1,1.083335504E-1,-6.667545438E-1,-1.943611950E-1
9.549797916E-1,5.291872099E-2,-6.574251652E-1,-8.650480211E-2
9.749797916E-1,5.966641009E-2,-5.119405389E-1,3.024230152E-2
9.949797916E-1,-1.742802933E-2,-3.242901564E-1,7.939148694E-2
1.014979792E0,-8.419371396E-2,-1.380466968E-1,8.596015722E-2
1.034979792E0,-1.168777719E-1,-1.951657981E-2,1.083115563E-1
1.054979792E0,-1.688822061E-1,4.694622010E-2,1.551351398E-1
