"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.368334871E-4,-1.136137390E-1,7.250023499E0,6.424789581E0
2.057583351E-2,-8.981323242E-2,7.201224976E0,6.856641541E0
4.051583330E-2,-4.646337891E-1,7.304809570E0,6.490353241E0
6.045583333E-2,-5.709127808E-1,7.315886536E0,6.252048798E0
8.039483335E-2,-2.314187622E-1,7.475754089E0,6.355633392E0
1.003348334E-1,2.499801636E-2,7.459887085E0,6.382128296E0
1.202748334E-1,1.517843628E-1,7.333549805E0,6.600823517E0
1.402138334E-1,1.607656860E-1,7.272177429E0,6.623276825E0
1.601538335E-1,1.267863464E-1,7.365283813E0,6.573729858E0
1.800938335E-1,7.469467163E-2,7.461234283E0,6.524781647E0
2.000328335E-1,-2.484832764E-2,7.482789459E0,6.515650635E0
2.199728335E-1,-1.425036621E-1,7.481142883E0,6.238277435E0
2.399128333E-1,-1.508862305E-1,7.458689575E0,6.164331207E0
2.598515835E-1,-7.065307617E-2,7.243437195E0,6.454278259E0
2.797915833E-1,7.439529419E-2,7.011269989E0,6.376589813E0
2.997315833E-1,1.278341675E-1,7.108717346E0,6.512656860E0
3.196705834E-1,-5.284011841E-2,7.367678833E0,6.683002625E0
3.396105834E-1,-2.510279846E-1,7.474706268E0,6.401587830E0
3.595505834E-1,-3.257226562E-1,7.439529419E0,6.349047089E0
3.794895834E-1,-3.348536682E-1,7.268734589E0,6.464157715E0
3.994295835E-1,-4.809498596E-1,7.176825714E0,6.362968140E0
4.193695835E-1,-7.125183105E-1,7.261848907E0,6.310128021E0
4.393085835E-1,-8.583151245E-1,7.446265411E0,6.314768372E0
4.592485835E-1,-7.735913086E-1,7.488477631E0,6.452631683E0
4.791885833E-1,-5.903723145E-1,7.236701202E0,6.612050171E0
4.991275833E-1,-6.469546509E-1,7.004384308E0,7.030130768E0
5.190675834E-1,-6.688092041E-1,7.062313843E0,6.965465240E0
5.390075834E-1,-4.520599365E-1,7.099885712E0,6.789431305E0
5.589465834E-1,-2.588117981E-1,7.072792053E0,6.961723022E0
5.788865834E-1,-2.531236267E-1,6.813231812E0,7.135661316E0
5.988265835E-1,-4.120930481E-1,6.730304260E0,7.515571289E0
6.187655835E-1,-4.550537109E-1,6.972500610E0,7.478448486E0
6.387055835E-1,-1.675016785E-1,7.157665558E0,7.221882019E0
6.586455833E-1,1.176553345E-1,7.036268005E0,7.421267395E0
6.785845833E-1,1.457968140E-1,6.571484528E0,7.749385071E0
6.985245834E-1,-1.431024170E-1,6.578519897E0,7.666756897E0
7.184645834E-1,-3.323089600E-1,6.899302826E0,7.176975403E0
7.384035834E-1,-4.531077576E-1,7.000791779E0,6.864724731E0
7.583435834E-1,-2.918930054E-1,6.844067688E0,6.638694763E0
7.782835835E-1,1.019380188E-1,6.721023560E0,6.875652008E0
7.982225835E-1,2.532733154E-1,6.666087799E0,7.039411469E0
8.181625835E-1,1.121168518E-1,6.779102783E0,6.928791504E0
8.381025833E-1,-1.278341675E-1,7.007527771E0,6.922205200E0
8.580415833E-1,-2.293231201E-1,7.043752441E0,6.528074799E0
8.779815834E-1,-2.308200073E-1,7.015311584E0,6.455924835E0
8.979215834E-1,-4.225712585E-1,6.973249054E0,6.731950836E0
9.178605834E-1,-6.734495544E-1,6.777905273E0,6.723867645E0
9.378005834E-1,-8.017327881E-1,6.673422546E0,6.657106476E0
9.577405835E-1,-6.509962463E-1,6.769971771E0,6.741381226E0
9.776795835E-1,-4.095483398E-1,6.943760376E0,7.178921356E0
9.976195835E-1,9.026229858E-2,6.970255280E0,7.230414276E0
1.017559584E0,5.813909912E-1,6.945257263E0,7.092101898E0
1.037498583E0,1.001118164E0,7.019652557E0,6.983727264E0
1.057438583E0,1.315614166E0,7.004683685E0,6.449937286E0
1.077378583E0,1.512155457E0,7.091802521E0,6.042634277E0
1.097317583E0,1.553768921E0,7.354057159E0,5.351222076E0
1.117257583E0,1.308728485E0,8.105045471E0,5.263803864E0
1.137197583E0,1.057850189E0,8.905730438E0,5.742508392E0
1.157136583E0,1.140478363E0,9.321116638E0,6.003864899E0
1.177076583E0,1.632056122E0,8.741521912E0,5.707481232E0
1.197016584E0,1.974992981E0,7.831115112E0,5.705385590E0
1.216955583E0,1.982477417E0,7.754025421E0,6.140830078E0
1.236895583E0,1.497186584E0,7.824977875E0,6.451733551E0
1.256835792E0,1.059047699E0,7.501500549E0,6.369105377E0
1.276774792E0,9.244775391E-1,7.313641205E0,6.214177551E0
1.296714792E0,1.072519684E0,7.616311798E0,5.954018555E0
1.316654792E0,1.302142181E0,7.825127563E0,5.529052277E0
1.336593792E0,1.257984009E0,7.812404022E0,5.834267578E0
1.356533792E0,1.128652954E0,7.639663239E0,5.666915588E0
1.376473792E0,1.282982025E0,7.391928406E0,5.260660400E0
1.396412792E0,1.474583588E0,7.065756683E0,5.166655884E0
1.416352792E0,1.483115845E0,6.852150879E0,5.529501343E0
1.436292792E0,1.316362610E0,6.897207184E0,5.835315399E0
1.456231792E0,1.125808868E0,6.752158813E0,5.763764191E0
1.476171792E0,8.906478882E-1,6.442901917E0,5.727090454E0
1.496111792E0,5.548960876E-1,6.505920868E0,5.752986603E0
1.516050792E0,4.403842163E-1,6.650071106E0,5.470074921E0
1.535990792E0,5.270539856E-1,6.496490479E0,5.212011566E0
1.555930792E0,5.550457764E-1,6.256389771E0,5.290598145E0
1.575869792E0,3.567082214E-1,6.210435333E0,5.788163452E0
1.595809792E0,1.169068909E-1,6.340215454E0,5.627547455E0
1.615749792E0,-2.619552612E-2,6.420747986E0,5.555547180E0
1.635688792E0,-9.310638428E-2,6.245462494E0,5.971681824E0
1.655628792E0,-1.504371643E-1,5.912105713E0,5.935906219E0
1.675568792E0,-1.700463867E-1,5.735023956E0,5.458099823E0
1.695507792E0,-1.966909790E-1,5.827381897E0,5.616470490E0
1.715447792E0,-3.478765869E-1,6.215524750E0,6.243067474E0
1.735386792E0,-4.972659302E-1,6.406976624E0,5.686824188E0
1.755326792E0,-5.186714172E-1,6.375092926E0,4.872068481E0
1.775266792E0,-6.628216553E-1,6.372099152E0,5.198240204E0
1.795205792E0,-1.002016296E0,6.432274017E0,5.414091339E0
1.815145792E0,-1.403631134E0,6.728807373E0,4.754712524E0
1.835085792E0,-1.701362000E0,7.309898987E0,4.242477722E0
1.855024792E0,-1.847308502E0,7.872129822E0,4.559518433E0
1.874964792E0,-1.895508270E0,8.152347107E0,5.519771576E0
1.894904792E0,-1.716480560E0,8.009993134E0,5.207520905E0
1.914843792E0,-1.429377594E0,7.628286896E0,4.771777039E0
1.934783792E0,-1.153351593E0,7.594606934E0,5.247637482E0
1.954723792E0,-1.082997894E0,7.593708801E0,5.860612793E0
1.974662792E0,-1.198707275E0,7.497608643E0,6.176755371E0
1.994602792E0,-1.315464478E0,7.474556580E0,5.954766998E0
2.014542792E0,-1.197210388E0,7.631280670E0,5.893095245E0
2.034481792E0,-9.596543884E-1,7.774532776E0,6.368506622E0
2.054421792E0,-8.379574585E-1,7.835007019E0,6.420298920E0
2.074361792E0,-8.910969543E-1,8.091872864E0,6.425538025E0
2.094300792E0,-9.303153992E-1,8.443940735E0,6.706354065E0
2.114240792E0,-8.692424011E-1,8.775800629E0,6.357130280E0
