"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.504999965E-3,1.754456326E-1,-2.166101038E-2,7.209441483E-2
1.947299996E-2,1.176179123E-1,-6.027602255E-2,2.528172326E-1
2.944199997E-2,-6.147930644E-2,-1.123969334E-1,1.578257060E-1
5.940999997E-2,-4.675279415E-1,-1.841545486E-1,-2.109324574E-2
7.940999997E-2,-3.132172892E-1,7.327145934E-3,-1.862683171E-1
9.940999997E-2,-3.863702694E-1,2.514530772E-1,-6.463933182E-1
1.194100000E-1,-5.292961735E-1,8.736851156E-2,-2.013231432E-1
1.394100000E-1,-3.882573851E-1,-1.530064309E-1,6.710323155E-2
1.594100000E-1,-3.855347022E-2,-1.355156547E-1,1.060269767E-1
1.794100000E-1,1.888656503E-1,6.764994621E-2,1.245690823E-1
1.994100000E-1,2.779536087E-1,2.093940550E-1,1.226242983E-1
2.194100000E-1,2.735900509E-1,1.560820663E-1,9.306311488E-2
2.394100000E-1,9.931919709E-2,8.624175310E-2,1.043926799E-1
2.594100000E-1,-1.903086700E-1,1.036454058E-1,4.934699178E-2
2.794100000E-1,-4.078362020E-1,1.331533796E-1,-2.538825953E-1
2.994100000E-1,-5.198586213E-1,1.094592923E-1,-3.633208376E-1
3.194100000E-1,-5.048217753E-1,-6.069000542E-2,-2.322829807E-1
3.394100000E-1,-5.363482080E-1,-2.341207606E-1,-1.336615026E-2
3.594100000E-1,-3.337443783E-1,-3.268634480E-1,4.833951652E-2
3.794100000E-1,-3.505011097E-2,-3.678506756E-1,9.179602325E-2
3.994100000E-1,9.758652091E-2,-4.150768822E-1,3.501517385E-1
4.194100000E-1,3.279864058E-2,-3.998940021E-1,4.658827543E-1
4.394100000E-1,-9.942605495E-3,-1.417289060E-1,4.062148422E-1
4.594100000E-1,2.175728479E-1,1.173746681E-1,1.643716639E-1
4.794100000E-1,5.463698240E-1,1.961735004E-1,6.615949094E-2
4.994100000E-1,6.387784892E-1,6.954853714E-2,2.411672401E-1
5.194100000E-1,4.747081031E-1,-7.728615761E-2,2.997399688E-1
5.394100000E-1,3.224306738E-1,-3.770401597E-2,2.106757647E-1
5.594100000E-1,3.059431337E-1,1.285931361E-1,-1.409354389E-2
5.794100000E-1,2.589325431E-1,2.085087866E-1,-1.091815495E-1
5.994100000E-1,1.700735763E-1,1.368347865E-1,-2.210311836E-1
6.194100000E-1,4.204294235E-2,9.996224463E-2,-1.909139299E-1
6.394100000E-1,3.927867115E-4,1.462072885E-1,-3.241591108E-1
6.594100000E-1,-3.138668418E-2,1.392730755E-1,-3.898560870E-1
