"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
9.504999965E-3,1.444661626E-1,1.189167430E-1,3.724391405E-1,9.089980249E-1,1.633872658E2,4.569921294E1,-6.233491904E0,1.593103237E2
1.947299996E-2,1.447312663E-1,1.180376862E-1,3.726810634E-1,9.089712195E-1,1.633565645E2,4.570609417E1,-6.125610345E0,1.593223361E2
2.944199997E-2,1.449202949E-1,1.170464661E-1,3.729465148E-1,9.089604720E-1,1.633346727E2,4.571252951E1,-6.009086603E0,1.593477130E2
3.940999997E-2,1.448582547E-1,1.159310813E-1,3.731386728E-1,9.090343976E-1,1.633418578E2,4.570561065E1,-5.892725674E0,1.594063632E2
4.937799997E-2,1.445118919E-1,1.149320430E-1,3.732423436E-1,9.091738194E-1,1.633819701E2,4.568989861E1,-5.803121268E0,1.594904531E2
5.934599997E-2,1.440932894E-1,1.142756269E-1,3.733263212E-1,9.092885431E-1,1.634304458E2,4.568077403E1,-5.752495743E0,1.595660655E2
6.931399996E-2,1.437988515E-1,1.139964146E-1,3.733926498E-1,9.093429125E-1,1.634645409E2,4.568015175E1,-5.735530857E0,1.596105159E2
7.928299997E-2,1.438694897E-1,1.141982031E-1,3.733512721E-1,9.093234407E-1,1.634563614E2,4.568077134E1,-5.754055787E0,1.595935991E2
8.925099997E-2,1.443994441E-1,1.149853587E-1,3.731722955E-1,9.092136903E-1,1.633949922E2,4.568225202E1,-5.815231968E0,1.595003994E2
9.921899997E-2,1.452079893E-1,1.162295548E-1,3.728844536E-1,9.090448500E-1,1.633013529E2,4.568415621E1,-5.913341459E0,1.593561749E2
1.091872500E-1,1.460782374E-1,1.177394446E-1,3.725717029E-1,9.088393420E-1,1.632005550E2,4.569090777E1,-6.036571784E0,1.591927181E2
1.191562500E-1,1.468547931E-1,1.193596326E-1,3.722875699E-1,9.086192090E-1,1.631105981E2,4.570426457E1,-6.174707046E0,1.590337302E2
1.291242500E-1,1.474906204E-1,1.209664075E-1,3.720416325E-1,9.084044287E-1,1.630369355E2,4.572178889E1,-6.316903024E0,1.588900958E2
1.390922500E-1,1.479882904E-1,1.224813233E-1,3.718505914E-1,9.081987520E-1,1.629792740E2,4.574327270E1,-6.454589096E0,1.587651942E2
1.490602500E-1,1.483722061E-1,1.238472183E-1,3.717194304E-1,9.080045815E-1,1.629347894E2,4.576771267E1,-6.580670680E0,1.586591308E2
1.590282500E-1,1.486593947E-1,1.250179630E-1,3.716536497E-1,9.078240244E-1,1.629015110E2,4.579441868E1,-6.689516164E0,1.585722883E2
1.689972500E-1,1.488706768E-1,1.259621577E-1,3.716642496E-1,9.076545519E-1,1.628770274E2,4.582381467E1,-6.776716005E0,1.585039165E2
1.789652500E-1,1.490122060E-1,1.266909926E-1,3.717558031E-1,9.074923709E-1,1.628606264E2,4.585669396E1,-6.843044250E0,1.584528110E2
1.889332500E-1,1.491033274E-1,1.271992626E-1,3.719100395E-1,9.073430867E-1,1.628500667E2,4.589069186E1,-6.887525642E0,1.584173085E2
1.989012500E-1,1.491700459E-1,1.274874732E-1,3.721170543E-1,9.072068260E-1,1.628423348E2,4.592469433E1,-6.909276827E0,1.583946960E2
2.088702500E-1,1.492188098E-1,1.275845585E-1,3.723574810E-1,9.070864967E-1,1.628366837E2,4.595716957E1,-6.911435623E0,1.583830347E2
2.188382500E-1,1.492465424E-1,1.275045216E-1,3.726240598E-1,9.069837427E-1,1.628334697E2,4.598761009E1,-6.895758781E0,1.583820501E2
2.288062500E-1,1.492162389E-1,1.272811855E-1,3.729084668E-1,9.069032001E-1,1.628369816E2,4.601578285E1,-6.867600149E0,1.583941381E2
2.387742500E-1,1.490902619E-1,1.269208616E-1,3.732080150E-1,9.068510644E-1,1.628515808E2,4.604135912E1,-6.829388775E0,1.584230490E2
2.487422500E-1,1.488204378E-1,1.263891580E-1,3.735005352E-1,9.068492099E-1,1.628828492E2,4.606042734E1,-6.780313830E0,1.584757908E2
2.587112500E-1,1.484074830E-1,1.257382210E-1,3.737534795E-1,9.069031579E-1,1.629307017E2,4.607056229E1,-6.726446627E0,1.585499557E2
2.686792500E-1,1.479242694E-1,1.251151747E-1,3.739421604E-1,9.069905283E-1,1.629866919E2,4.607336924E1,-6.680130776E0,1.586307360E2
2.786472500E-1,1.474627192E-1,1.246812729E-1,3.740550718E-1,9.070789103E-1,1.630401681E2,4.607248041E1,-6.653989565E0,1.587005214E2
2.886152500E-1,1.470870644E-1,1.245025491E-1,3.740741011E-1,9.071565869E-1,1.630836896E2,4.606781733E1,-6.652290311E0,1.587493531E2
2.985832500E-1,1.468352791E-1,1.246216983E-1,3.740147583E-1,9.072054773E-1,1.631128588E2,4.606264070E1,-6.677335060E0,1.587709973E2
3.085522500E-1,1.467315978E-1,1.250776745E-1,3.739169039E-1,9.071998296E-1,1.631248699E2,4.606306544E1,-6.731113277E0,1.587606907E2
3.185202500E-1,1.467289426E-1,1.258340840E-1,3.738079964E-1,9.071406133E-1,1.631251775E2,4.607124728E1,-6.811398747E0,1.587250387E2
3.284882500E-1,1.467439047E-1,1.267697019E-1,3.736885944E-1,9.070571203E-1,1.631234442E2,4.608344825E1,-6.909513385E0,1.586788231E2
3.384562500E-1,1.467379199E-1,1.278671215E-1,3.735557475E-1,9.069587496E-1,1.631241375E2,4.609867593E1,-7.025485552E0,1.586270200E2
3.484242500E-1,1.467342109E-1,1.291422850E-1,3.733989929E-1,9.068431829E-1,1.631245671E2,4.611630979E1,-7.160127733E0,1.585664012E2
3.583932500E-1,1.467696986E-1,1.305605159E-1,3.731940011E-1,9.067186812E-1,1.631204561E2,4.613266375E1,-7.308755189E0,1.584948404E2
3.683612500E-1,1.469140937E-1,1.321247013E-1,3.729510772E-1,9.065686384E-1,1.631037283E2,4.614958893E1,-7.468244870E0,1.584046098E2
3.783292500E-1,1.472025889E-1,1.338111443E-1,3.727183213E-1,9.063702532E-1,1.630703058E2,4.617262474E1,-7.633428375E0,1.582926780E2
3.882972500E-1,1.475656418E-1,1.354872401E-1,3.725417681E-1,9.061347366E-1,1.630282436E2,4.620316494E1,-7.792776216E0,1.581726030E2
3.982662500E-1,1.478940501E-1,1.370108276E-1,3.724019881E-1,9.059095881E-1,1.629901933E2,4.623389114E1,-7.937150865E0,1.580632811E2
4.082342500E-1,1.480849331E-1,1.383121116E-1,3.722833026E-1,9.057294103E-1,1.629680762E2,4.625999198E1,-8.064488673E0,1.579793837E2
4.182022500E-1,1.480703082E-1,1.394093942E-1,3.721889042E-1,9.056023376E-1,1.629697708E2,4.628181651E1,-8.179726042E0,1.579273539E2
4.281702500E-1,1.478191130E-1,1.403469825E-1,3.720994791E-1,9.055353241E-1,1.629988759E2,4.629801121E1,-8.289303843E0,1.579085497E2
4.381382500E-1,1.473835253E-1,1.411548533E-1,3.720092005E-1,9.055178331E-1,1.630493433E2,4.630900295E1,-8.394057194E0,1.579159585E2
4.481072500E-1,1.468780160E-1,1.418961321E-1,3.719154238E-1,9.055226379E-1,1.631079078E2,4.631708644E1,-8.495279104E0,1.579341899E2
