feature,importance
gyro_z_std_3_0s,0.0884719777530562
linacc_X_mean_3_0s,0.06563261358540771
linacc_Y_std_3_0s,0.05133655679775748
gyro_magnitude_mean_3_0s,0.049655543354940254
gyro_z_min_3_0s,0.04822689727776706
gyro_y_rms_3_0s,0.037937558140594664
accel_y_mean_3_0s,0.03546076565162555
gyro_z_rms_3_0s,0.029778505984253325
gyro_z_max_3_0s,0.029559554576775154
linacc_Z_rms_3_0s,0.028586525074236445
orient_y_std_3_0s,0.027925563701085208
linacc_Z_mean_3_0s,0.025892557274583946
accel_x_mean_3_0s,0.025483017653912112
linacc_Y_mean_3_0s,0.022769670548309775
accel_y_std_3_0s,0.0205546438066213
linacc_Z_std_3_0s,0.01818404164074556
gyro_magnitude_std_3_0s,0.01713072961486337
linacc_Y_max_3_0s,0.01708293447880247
linacc_Y_kurt_3_0s,0.015584483444301871
gyro_x_mean_3_0s,0.013827671515738917
accel_x_min_3_0s,0.01343699187360792
pressure_X (hPa)_min_3_0s,0.012947162182643216
linacc_X_max_3_0s,0.012831821252123171
orient_x_std_3_0s,0.011648136320586961
accel_z_max_3_0s,0.011069679344999566
gyro_x_min_3_0s,0.010751397601818227
linacc_Y_rms_3_0s,0.010732158230624653
gyro_y_std_3_0s,0.00983263012310449
orient_z_max_3_0s,0.009554677843545814
accel_x_max_3_0s,0.007208940626320944
linacc_Z_skew_3_0s,0.0066261233214302525
gyro_y_min_3_0s,0.006614626141496397
accel_y_min_3_0s,0.006228985591697916
accel_z_std_3_0s,0.005798635417720085
orient_y_min_3_0s,0.005657353598845335
linacc_X_rms_3_0s,0.00564760023694928
orient_x_min_3_0s,0.005559313670279548
orient_z_min_3_0s,0.005386705959737034
orient_w_std_3_0s,0.005278268637178584
accel_x_skew_3_0s,0.004859743174151952
linacc_X_min_3_0s,0.004814585345416923
gyro_x_rms_3_0s,0.004685404043198886
linacc_Z_max_3_0s,0.004682965063451884
accel_x_std_3_0s,0.004639292991431395
gyro_x_std_3_0s,0.004606112386116734
linacc_Z_min_3_0s,0.004446081976122378
orient_w_min_3_0s,0.00433628958084759
accel_magnitude_mean_3_0s,0.004211369976814893
orient_y_rms_3_0s,0.003760655543377334
linacc_Y_min_3_0s,0.003690609883747129
accel_z_min_3_0s,0.00365149615107241
gyro_y_mean_3_0s,0.003618975307965414
orient_x_mean_3_0s,0.0034136868397827364
pressure_X (hPa)_mean_3_0s,0.0033995192812161608
accel_z_mean_3_0s,0.0031726513455535206
orient_y_mean_3_0s,0.0031396296295532066
gyro_z_mean_3_0s,0.0030710732749927813
gyro_y_max_3_0s,0.002964874864496926
orient_z_std_3_0s,0.002823450655630805
orient_w_mean_3_0s,0.002617872585901652
gyro_x_max_3_0s,0.002570292864531238
orient_z_skew_3_0s,0.0025624850597548935
orient_Direct (°)_max_3_0s,0.002554635152014015
orient_x_max_3_0s,0.0025160908995182623
gyro_magnitude_max_3_0s,0.0025126918031626176
orient_Yaw (°)_max_3_0s,0.0024669464278957473
orient_Roll (°)_mean_3_0s,0.002340818648229243
accel_magnitude_min_3_0s,0.0022978185978648
orient_y_skew_3_0s,0.0022830374564082627
linacc_Y_range_3_0s,0.0022804584480774714
gyro_x_kurt_3_0s,0.0022651725761608297
linacc_Z_kurt_3_0s,0.0021436699616464256
orient_Pitch (°)_max_3_0s,0.0019189064477432688
linacc_X_skew_3_0s,0.0018184734574558075
linacc_Y_skew_3_0s,0.0017775268607074163
accel_y_max_3_0s,0.0017607523876240969
accel_magnitude_skew_3_0s,0.001759688090182135
linacc_X_std_3_0s,0.0017271614342886214
gyro_z_kurt_3_0s,0.0016594277485276266
orient_Roll (°)_rms_3_0s,0.001650972447821753
orient_z_mean_3_0s,0.0015228965737615334
pressure_X (hPa)_max_3_0s,0.001495267830902825
orient_y_max_3_0s,0.0014722954404420205
gyro_y_skew_3_0s,0.0013894273084583718
accel_magnitude_kurt_3_0s,0.0013802601341715562
gyro_x_skew_3_0s,0.001264436841045739
pressure_X (hPa)_std_3_0s,0.0012625091606252377
gyro_magnitude_kurt_3_0s,0.0012464828697927239
orient_z_kurt_3_0s,0.0012448157919347444
accel_magnitude_max_3_0s,0.001210113330533397
orient_Roll (°)_skew_3_0s,0.0011898201201252865
orient_w_range_3_0s,0.0011030625668909534
orient_Yaw (°)_std_3_0s,0.0010944862273078485
orient_w_max_3_0s,0.0010872312047464716
gyro_magnitude_min_3_0s,0.0010864570688579294
orient_Yaw (°)_min_3_0s,0.0010775711743015155
orient_w_skew_3_0s,0.0010486056348228993
accel_magnitude_std_3_0s,0.0010483486157324496
accel_z_skew_3_0s,0.0010160373158044683
accel_z_kurt_3_0s,0.0009890154020219082
gyro_magnitude_skew_3_0s,0.000944551813092013
accel_y_kurt_3_0s,0.0008490963973755682
orient_x_rms_3_0s,0.0008304374202741158
accel_x_kurt_3_0s,0.0008222858704632957
orient_y_kurt_3_0s,0.0008065518369179917
orient_Roll (°)_max_3_0s,0.0007663382842859348
orient_Roll (°)_min_3_0s,0.0007575434877750276
accel_y_skew_3_0s,0.0007376056196017152
accel_z_rms_3_0s,0.0007353687928270318
accel_x_range_3_0s,0.0006668834279913476
orient_x_skew_3_0s,0.0006194623351488758
orient_Pitch (°)_skew_3_0s,0.0006084384125544519
pressure_X (hPa)_kurt_3_0s,0.0005976052416171116
orient_Roll (°)_std_3_0s,0.0005938477529066348
linacc_X_range_3_0s,0.0005858045399798622
orient_Pitch (°)_kurt_3_0s,0.0005820656437800913
orient_Yaw (°)_skew_3_0s,0.0005149893369999928
accel_z_range_3_0s,0.0005016042132038899
orient_z_range_3_0s,0.000500600764183476
orient_x_kurt_3_0s,0.0004965741037920952
gyro_magnitude_rms_3_0s,0.00044485135232424184
linacc_X_var_3_0s,0.0004349169222016798
linacc_Z_var_3_0s,0.00041246127736034805
orient_w_kurt_3_0s,0.00039780601982809463
orient_Yaw (°)_rms_3_0s,0.0003800995540310294
orient_Direct (°)_min_3_0s,0.0003741818690418217
pressure_X (hPa)_skew_3_0s,0.00035009793436915936
orient_Direct (°)_std_3_0s,0.0003428561555228258
gyro_y_kurt_3_0s,0.0003002398912974315
orient_Yaw (°)_kurt_3_0s,0.00030000503617667374
accel_x_rms_3_0s,0.0002891442724715119
orient_Roll (°)_kurt_3_0s,0.00028523208458085345
orient_Roll (°)_var_3_0s,0.0002681641181498331
gyro_z_skew_3_0s,0.00026072488376004474
orient_Pitch (°)_std_3_0s,0.00025180927795620956
gyro_z_var_3_0s,0.00024803153144201546
orient_Pitch (°)_min_3_0s,0.0002389374703822619
orient_Yaw (°)_range_3_0s,0.00021649558492753784
accel_y_rms_3_0s,0.00016882592595848325
accel_magnitude_range_3_0s,0.0001442037420467166
accel_y_range_3_0s,0.0001360803782635947
gyro_y_range_3_0s,0.00013361977543748213
orient_Yaw (°)_mean_3_0s,0.00010320615802009103
orient_Yaw (°)_var_3_0s,8.294044291164151e-05
pressure_X (hPa)_range_3_0s,7.211389323511632e-05
gyro_x_range_3_0s,6.03607144551051e-05
linacc_X_kurt_3_0s,5.816721375309689e-05
linacc_Z_range_3_0s,4.038311162596731e-05
gyro_z_range_3_0s,2.798572672193659e-05
linacc_Y_var_3_0s,2.6832433457633058e-05
orient_z_rms_3_0s,2.3853742383392394e-05
orient_y_range_3_0s,6.827799075705377e-06
accel_z_var_3_0s,5.361279234850183e-06
